region,basin,SSTlo,maxage,n
Oahu,PO,23.8123,40,115
Tutuila,PO,27.93,25,183
MTMNM,PO,25.4359,30,214
NMI,PO,26.5391,24,155
Guam,PO,27.3259,13,310
Pohnpei,PO,28.3656,15,316
Lizard,PO,24.876,39,NA
