region,basin,SSTlo,maxage
CoralBay,IO,22.2427,20
Chagos,IO,27.6522,16
Saipan,PO,27.2548,13
NMI,PO,26.5391,14
MTMNM,PO,25.4359,16
Yap,PO,27.8777,10
SeyAm,IO,24.9637,18
SeyGran,IO,26.1457,13
Oahu,PO,23.8123,19
