region,basin,SSTlo,maxage,n
Townsville,PO,23.27,33,116
Mackay,PO,23,37,42
Pompey,PO,22.89,44,37
NewCaledonia,PO,22.62,31,97
Palau,PO,28.14,16,94
Kavieng,PO,29.39,22,471
Chuuk,PO,28.8,25,278
Pohnpei,PO,28.44,22,591
SeyAm,IO,24.82,31,162
Iriomote,PO,23.45,26,156
