location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
WAKE,19.261455,166.710971,Oceanic,27.31571785,28.51003624,29.14476702,30.07830483,1.541828591
WALLISFUTUNA1,-15.923326,-173.643522,Oceanic,28.05920113,28.79585147,29.47304441,30.43639331,0.923342273
WALLISFUTUNA2,-15.597515,-175.4847,Oceanic,28.02925438,28.75310298,29.46058207,30.43639346,0.940293871
WALLISFUTUNA3,-14.363583,-177.911667,Oceanic,28.46121933,29.20774083,29.92930939,30.89847061,0.897026
WALLISFUTUNA4,-13.34251,-176.058828,Oceanic,28.71307518,29.45854408,30.18865654,31.10637695,0.788234174
WOLEAI,7.314637,143.889281,Oceanic,28.93711479,29.9050913,30.43801964,31.5737968,0.637000856
Yap,9.423398,138.284825,Oceanic,28.82628342,29.79858948,30.32125564,31.50740855,0.884382909
Upolu,-14.065766,-171.6762,Oceanic,,,,,
Tinian,14.971481,145.595904,Oceanic,,,,,
MHI,20.517377,-156.962448,Oceanic,,,,,
