location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
FIJI3,-17.262471,-179.345245,Oceanic,27.28928526,28.09085259,28.51141101,29.56040266,1.289007
FIJI4,-16.741132,177.370877,Oceanic,27.65496735,28.43201228,28.89356649,29.95976904,1.306627758
FSM_UNK,3.808463,154.957177,Oceanic,29.27325859,30.30824229,31.04101512,32.06801745,0.198562311
Gascoyne,-20.023379,118.58713,Continental,26.98821611,28.18485155,28.70805839,29.7314819,2.662780045
GBR1,-27.079305,153.562029,Continental,23.88048087,24.8494511,25.16758719,26.27061657,2.447928068
GBR6,-16.957462,146.75437,Continental,26.58279007,27.4628893,27.85970911,28.93868733,2.329699644
GBR8,-11.280246,144.400871,Continental,27.15152115,27.94934588,28.48255422,29.48102008,2.053130652
Guam,13.345587,144.931155,Oceanic,28.51938034,29.45817022,30.12164589,31.28532641,1.063517826
Djibouti,11.046803,43.930054,Continental,28.2456269,29.47666328,29.98611872,31.03877443,2.362820659
GULF_ADEN3,11.945338,50.139466,Continental,28.01820587,29.21343877,29.6076356,30.61941055,2.046687576
GULF_ADEN4,13.03816,45.956232,Continental,28.02056408,29.25039374,29.74832007,30.75362556,2.349331159
GULF_ADEN5,15.092027,51.912198,Continental,26.65106633,27.90124588,28.29490458,29.21351445,1.776544
GULF_AQABA1,28.49044,34.64066,Continental,25.04873594,25.93993327,26.70028064,27.70695763,2.597160227
GULF_AQABA2,29.163461,34.799227,Continental,24.88280869,25.77400602,26.53435339,27.54103038,2.597160227
GULF_SUEZ1,28.105305,33.532357,Continental,24.27897501,25.17017234,25.93051971,26.9371967,2.615245917
GULF_SUEZ2,28.858257,32.951074,Continental,22.08964729,23.05255267,23.78725777,24.76395853,2.615245917
GULF_SUEZ3,29.550927,32.558124,Continental,20.97294998,21.86414731,22.62449468,23.63117167,2.615245917
HAWAII3,22.882884,-161.636429,Oceanic,25.06083832,26.00129242,26.43945465,27.61758245,1.663398
HAWAII4,24.165383,-166.435839,Oceanic,25.01073959,26.04256104,26.71738683,27.6428446,2.147623917
HAWAII5,26.381182,-173.908863,Oceanic,24.39049292,25.31868659,26.00821626,26.74591157,2.730501811
HAWAII6,28.484313,-178.463757,Oceanic,23.3633374,24.37310201,24.82970245,25.73438843,3.398463
Heron,-24.049558,152.201204,Continental,24.53907384,25.45550273,25.77844839,26.85052963,2.579658803
Heywood,-12.272821,123.394951,Oceanic,28.64092201,29.5124041,30.07480034,31.120992,1.852476379
INDIA1,8.596567,76.576605,Continental,28.22231817,29.35459165,29.57165009,30.7772376,0.810299
INDIA2,8.887282,79.15608,Continental,28.04631251,29.13584981,29.31570846,30.40609644,0.687877
INDIA3,11.876742,75.108789,Continental,28.66864693,29.75860563,29.97930011,31.20233936,0.879543
INDO1,-9.605137,122.598446,Continental,28.02754005,28.77407173,29.24579618,30.33303958,1.52274575
