date,year,region,site,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
NA,2009,MTMNM,intercept_mtmnm,nu_recruit4,Naso_unicornis,65,NA,159.84,NA,0,27.96,25.61
NA,2009,NMI,intercept_nmi,nu_recruit5,Naso_unicornis,65,NA,155.86,NA,0,28.58,26.9
NA,2005,Pohnpei,intercept_pohnpei,nu_recruit6,Naso_unicornis,65,NA,162.38,NA,0,29.28,28.67
NA,2006,Heron,intercept_heron,nu_recruit7,Naso_unicornis,65,NA,161.42,NA,0,25.08,21.96
NA,2008,Guam,Tanguisson,NUR061,Naso_unicornis,95,NA,212.8,NA,0.0356,28.93,28.93
NA,2008,Guam,PagoBay,NUR131,Naso_unicornis,74,NA,178.16,NA,0.0493,28.93,28.93
NA,2008,Guam,PagoBay,NUR230,Naso_unicornis,66,NA,166.783,NA,0.1452,28.93,28.93
NA,2008,Guam,Tanguisson,NUR278,Naso_unicornis,120,NA,229.849,NA,0.2356,28.93,28.93
NA,2008,Guam,Asan,NUR306,Naso_unicornis,144,NA,262.862,NA,0.2904,28.93,28.93
NA,2008,Guam,Asan,NUR307,Naso_unicornis,140,NA,271.863,NA,0.2904,28.93,28.93
NA,2008,Guam,NA,NU116,Naso_unicornis,132,NA,237.58,0.0022,0,28.93,28.93
30-Aug-08,2008,Guam,CocosLagoon,NU123,Naso_unicornis,133,NA,234.06,0.0022,0,28.93,28.93
30-Aug-08,2008,Guam,CocosLagoon,NU125,Naso_unicornis,141,NA,271.12,0.0025,0,28.93,28.93
NA,2008,Guam,NA,NU106,Naso_unicornis,127,NA,284.6,0.0022,0,28.93,28.93
NA,2015,CoralBay,Coral Bay,sr_recruit1,Scarus_rubroviolaceus,20,NA,42.5,NA,0,24.45,22.3
NA,2013,Chagos,ChagosArch,sr_recruit2,Scarus_rubroviolaceus,20,NA,48.9,NA,0,28.61,27.82
NA,2009,MTMNM,Uracas,sr_recruit3,Scarus_rubroviolaceus,20,NA,41.6,NA,0,27.96,25.61
NA,2007,Yap,Yap,sr_recruit4,Scarus_rubroviolaceus,20,NA,55,NA,0,28.97,28.08
NA,2008,Guam,Guam,sr_recruit5,Scarus_rubroviolaceus,20,NA,52.6,NA,0,28.89,27.69
NA,2009,NMI,NMI,sr_recruit6,Scarus_rubroviolaceus,20,NA,51.9,NA,0,28.58,26.9
NA,2001,Oahu,Oahu,sr_recruit7,Scarus_rubroviolaceus,20,NA,29.2,NA,0,25.6,24
NA,2006,Saipan,Saipan,sr_recruit8,Scarus_rubroviolaceus,20,NA,52.1,NA,0,28.8,27.45
NA,1997,SeyAm,SeyAm,sr_recruit9,Scarus_rubroviolaceus,20,NA,51.2,NA,0,27.3,25.09
NA,1997,SeyGran,SeyGran,sr_recruit10,Scarus_rubroviolaceus,20,NA,54.3,NA,0,28.14,26.36
