region,basin,SSTlo,maxage
Chagos,IO,27.6522,26
Oahu,PO,23.8123,52
Guam,PO,27.3259,23
MTMNM,PO,25.4359,37
NMI,PO,26.5391,33
Pohnpei,PO,28.3656,16
Yap,PO,27.8777,17
Saipan,PO,27.0819,21
Tinian,PO,27.1449,22
Lizard,PO,24.876,30
Tutuila,PO,27.93,19
