region,basin,SSTlo,maxage,n
Guam,PO,27.61,12,415
Kavieng,PO,29.45,5,41
Dumaguete,PO,27.55,6,82
Pohnpei,PO,28.65,8,81
Yap,PO,28.11,10,86
Iriomote,PO,23.37,15,452
Saipan,PO,27.47,9,522
Fiji,PO,24.07,12,NA
Lizard,PO,24.54,15,NA
